('PFIN', [0.0007554411812442848, 0.043593557304999732])
('GRF', [-1.7605669980818642e-05, 0.024113651469249823])
('USLM', [0.00037675942825301828, 0.038249090776724955])
('CEVA', [9.1315700524360121e-05, 0.031208902128210255])
('ARCPP', [-0.00059568206244635835, 0.0078787841553606321])
('PFIS', [-0.00014162493255222346, 0.020588112579291402])
('CPRX', [0.0026806997079959483, 0.07812865673554599])
('ZU', [0.0034350369168324106, 0.045777786528781637])
('CPRT', [-0.00028274851642618256, 0.02656935347201908])
('GARS', [-0.00031555112083647962, 0.0089509355803324628])
('SYNL', [0.00038457700986234893, 0.033995498852938906])
('SLRC', [-0.00027844655896713843, 0.013288569340290114])
('NOM', [-0.00018262479424468366, 0.01188512314572511])
('WPCS', [0.0041482022320018155, 0.057106244991861073])
('FTCS', [-0.00025302876658852132, 0.014321811926407656])
('RPTP', [0.003102176312068515, 0.068202126609001601])
('DYAX', [0.0011855242923073919, 0.048543374140063308])
('LPSN', [0.0015611586346024554, 0.056373831813143843])
('AVHI', [0.00057997061384119193, 0.027716816898060999])
('LPSB', [0.00015951943709543309, 0.028158679296667499])
('LUNA', [0.0024772829668565002, 0.05842917812682201])
('APDN', [0.0050228268486583435, 0.08638806792305638])
('WVVI', [0.0015877255046063039, 0.058381540264767266])
('RLGT', [0.00095134373920270979, 0.062759124792724136])
('CTP', [0.0028535114902023318, 0.044450647010926277])
('SYPR', [0.0020154782456385648, 0.053098137771660218])
('WEBK', [-0.00046458054741787028, 0.013620727225761634])
('SPPI', [0.0021364353027769735, 0.057392218165139168])
('IMUC', [0.0039802467607578133, 0.090239153653733084])
('GWGH', [0.0037044411843825593, 0.042914641884935933])
('STPP', [0.00028332968724088911, 0.0098884539306135881])
('CTF', [0.00028661580462193526, 0.010081094535140209])
('CTG', [0.00053992553807068308, 0.034356809193107261])
('LBAI', [0.00033226200379475612, 0.02980054321019773])
('IFAS', [0.0001687438681059048, 0.017214714950515721])
('CCBG', [0.00021344059916987058, 0.027189725511521351])
('RAVE', [0.00049463998298866383, 0.037393940222790238])
('ARCP', [0.00032620633465259356, 0.019254606623902003])
('CTO', [-6.0823911684811334e-05, 0.022295672451212872])
('LJPC', [0.061697477670157853, 1.6734034477292816])
('VRTX', [0.00017406445504516366, 0.038212456936824214])
('WHF', [-5.2146609621897666e-05, 0.011889051489944616])
('MOBI', [0.0017645298188878639, 0.053169505965171164])
('VSEC', [0.00033357231404639764, 0.04074545810269925])
('ARTW', [0.00067171150979001366, 0.041508890726885607])
('KTOS', [0.0021675475935614081, 0.044401775038057492])
('ARTX', [0.0023454179264319154, 0.05462196883558465])
('NAVG', [6.3661885994406326e-05, 0.023431343903652455])
('QCCO', [0.0011052985793968818, 0.036241401271474162])
('TASR', [-0.00026586866191541099, 0.042133474588196024])
('TAST', [4.260276158668164e-06, 0.030690540122593295])
('FCLF', [0.00030064558847406634, 0.027459971090783096])
('GOODP', [0.00015820445385604807, 0.031652257781254529])
('GNBC', [0.0011030825680111837, 0.020144532485043949])
('ATEC', [0.0017182736516836671, 0.044298928258698016])
('OFED', [-0.00034604267586574804, 0.017914809283160239])
('DOVR', [0.0012565507205885324, 0.048251317225938277])
('TCBIP', [-0.00025000559344351837, 0.0067505180035359767])
('GOODN', [-0.00025397827137302477, 0.0071910310361587189])
('GOODO', [5.510620476717286e-05, 0.028000209293109281])
('NTAP', [0.00016771967928224898, 0.040465455592305008])
('ZBRA', [-0.00020076956079311239, 0.026203026787176377])
('PDII', [0.001497968782570322, 0.045497521379956767])
('ORM', [-0.00096008280565230096, 0.019529649510092808])
('COMT', [0.0019323566591885565, 0.011914212978012128])
('IRDMB', [0.00010126686474073852, 0.024144779135953521])
('LOV', [0.00070037704812298961, 0.02541931215085929])
('WBMD', [0.00023970647687909953, 0.031134711539140828])
('EVEP', [0.00039058347284104769, 0.028384628210450347])
('SYRG', [0.0027992345756261317, 0.1186016800301479])
('DPW', [0.0024233519384340221, 0.061255278756085399])
('ABAC', [0.0025230194929792117, 0.050398968225091371])
('VBFC', [0.0015113570018259954, 0.043889817862320282])
('PSEC', [0.00015212710186501659, 0.024347592929131186])
('VXUP', [0.0030629744924685065, 0.030324029546975894])
('VXUS', [-6.4386317738125527e-05, 0.011739932892816171])
('GV', [0.0031667607456464107, 0.082960499309649965])
('FARM', [7.6242889393760048e-05, 0.024247527846368137])
('FARO', [0.00068665438330140871, 0.043048318187526843])
('TQQQ', [-0.0012739291516765813, 0.03201719959542728])
('PSEM', [0.00052354228111275449, 0.038422075570212218])
('SIFI', [0.00033636549656262466, 0.027262210907060807])
('FNJN', [0.0069454796017041206, 0.071029735444094369])
('FCBC', [0.00020288377858850983, 0.025759745641770745])
('GBLI', [0.00046453343378114202, 0.027939616353659252])
